text,label
"I love meeting people and socializing",extrovert
"I enjoy group discussions and teamwork",extrovert
"I like attending parties and events",extrovert
"I feel energized around people",extrovert
"I enjoy leading teams and talking",extrovert
"I like being alone and reading books",introvert
"I prefer quiet environments",introvert
"I enjoy working independently",introvert
"I feel comfortable in solitude",introvert
"I like deep thinking and writing",introvert
"I enjoy public speaking",extrovert
"I like interacting with new people",extrovert
"I prefer small groups or alone time",introvert
"I enjoy silence and focus",introvert
"I like brainstorming with others",extrovert
"I enjoy social activities",extrovert
"I prefer working quietly",introvert
"I like spending time alone",introvert
"I enjoy communication and networking",extrovert
"I feel relaxed when alone",introvert